created,timestamp,sensor_type,value,name,lat,lon,alt
1664489073829,1664477700000,WS_ms_Std(5m),0.38,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,WS_ms_Max(5m),2.575,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,ThermTemp2_Avg(5m),24.24867,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,ThermTemp3_Avg(5m),24.25396,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,Air_Temp_HS_Avg(5m),23.812,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,RelHumidity_Avg(5m),38.70832,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,WS_ms_Avg(5m),1.87,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,WS3_Avg(5m),7.367828,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,Vapor_Pressure_Avg(5m),1.141674,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,ThermTemp1_Avg(5m),24.18731,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073829,1664477700000,WTemp_C1_Avg(5m),24.00917,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_sat1_Avg(5m),100.6558,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_conc1_Avg(5m),8.471451,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,ThermTemp5_Avg(5m),24.2009,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,ThermTemp6_Avg(5m),24.29146,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,WTemp_C3_Avg(5m),24.03019,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_sat3_Avg(5m),100.0745,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_conc2_Avg(5m),8.365827,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,ThermTemp4_Avg(5m),24.18244,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,WTemp_C2_Avg(5m),24.01645,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_sat2_Avg(5m),99.41433,Boya (Isla del Barón),37.70940,-0.78552,0
1664489073830,1664477700000,O2_conc3_Avg(5m),8.419228,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,Air_Temp_HS_Avg(5m),23.71234,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,RelHumidity_Avg(5m),39.52475,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp1_Avg(5m),24.18527,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WTemp_C1_Avg(5m),23.9992,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp2_Avg(5m),24.24789,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp6_Avg(5m),24.30169,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,Vapor_Pressure_Avg(5m),1.158794,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WS_ms_Avg(5m),3.387,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WS_ms_Std(5m),0.797,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp3_Avg(5m),24.24407,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp4_Avg(5m),24.191,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WTemp_C2_Avg(5m),24.00691,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WTemp_C3_Avg(5m),24.0416,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WS_ms_Max(5m),4.0,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,WS3_Avg(5m),44.96684,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,ThermTemp5_Avg(5m),24.21372,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297431,1664478000000,O2_sat1_Avg(5m),100.8673,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297432,1664478000000,O2_sat2_Avg(5m),99.88746,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297432,1664478000000,O2_sat3_Avg(5m),100.5011,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297432,1664478000000,O2_conc1_Avg(5m),8.490834,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297432,1664478000000,O2_conc2_Avg(5m),8.407142,Boya (Isla del Barón),37.70940,-0.78552,0
1664489297432,1664478000000,O2_conc3_Avg(5m),8.453303,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495653,1664478300000,Air_Temp_HS_Avg(5m),23.67316,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495653,1664478300000,RelHumidity_Avg(5m),40.19046,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495653,1664478300000,Vapor_Pressure_Avg(5m),1.175522,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,ThermTemp4_Avg(5m),24.18319,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WTemp_C2_Avg(5m),23.99816,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WTemp_C3_Avg(5m),24.0249,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,O2_sat1_Avg(5m),100.9247,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WS_ms_Avg(5m),2.903,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,ThermTemp1_Avg(5m),24.17369,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,ThermTemp6_Avg(5m),24.29291,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WS_ms_Std(5m),0.706,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WS_ms_Max(5m),4.65,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WS3_Avg(5m),29.26664,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,WTemp_C1_Avg(5m),23.99272,Boya (Isla del Barón),37.70940,-0.78552,0
1664489495654,1664478300000,ThermTemp2_Avg(5m),24.23889,Boya (Isla del Barón),37.70940,-0.78552,0
