"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor7-final.CR1X","33968","Output5min"
"TIMESTAMP","RECORD","Air_Temp_HS_Avg","RelHumidity_Avg","Vapor_Pressure_Avg","WS_ms_Avg","WS_ms_Std","WS_ms_Max","WS_ms_TMx","WS3_Avg","ThermTemp1_Avg","WTemp_C1_Avg","ThermTemp2_Avg","ThermTemp3_Avg","ThermTemp4_Avg","WTemp_C2_Avg","ThermTemp5_Avg","ThermTemp6_Avg","WTemp_C3_Avg","O2_sat1_Avg","O2_sat2_Avg","O2_sat3_Avg","O2_conc1_Avg","O2_conc2_Avg","O2_conc3_Avg"
"TS","RN","Deg C","Percent","kPa","meters/second","meters/second","meters/second","meters/second","(meters/second)","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Percent","Percent","Percent","mg/l","mg/l","mg/l"
"","","Avg","Avg","Avg","Avg","Std","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-05-25 13:00:00",1249,21.33728,68.03999,1.726778,5.187,0.013,5.2,"2023-05-25 12:59:30",139.5988,22.34688,22.13122,22.34409,22.17778,21.85559,21.40407,21.70142,21.76543,21.37324,99.24803,105.1036,98.15951,8.655592,9.295994,8.687027
"2023-05-25 13:05:00",1250,21.44226,69.00863,1.7628,4.94,0.475,5.75,"2023-05-25 13:05:00",123.9013,22.36701,22.13476,22.37296,22.1846,21.67724,21.40269,21.70246,21.76678,21.36964,99.40233,105.134,98.01454,8.668459,9.298933,8.674803
"2023-05-25 13:10:00",1251,21.43739,68.16788,1.740703,5.187,0.275,5.775,"2023-05-25 13:07:30",140.7888,22.34928,22.11856,22.37082,22.25134,21.80732,21.40244,21.68518,21.76918,21.36409,99.45029,104.9579,98.2859,8.675343,9.283402,8.699757
"2023-05-25 13:15:00",1252,21.51147,68.41289,1.754896,5.402,0.244,5.7,"2023-05-25 13:13:30",158.6365,22.29959,22.05994,22.31686,22.24601,21.9831,21.40698,21.70842,21.77449,21.40206,99.36996,105.3242,98.38419,8.678114,9.314977,8.702024
"2023-05-25 13:20:00",1253,21.49675,67.76429,1.736745,5.207,0.204,5.55,"2023-05-25 13:18:30",141.8727,22.24968,22.01015,22.2612,22.19734,21.9211,21.40678,21.71443,21.77767,21.41378,99.34392,104.935,98.08176,8.684157,9.280583,8.673302
"2023-05-25 13:25:00",1254,21.54556,68.04147,1.749015,5.145,0.509,6.05,"2023-05-25 13:25:00",140.2049,22.22181,21.98616,22.23264,22.16997,21.98331,21.4098,21.68528,21.77918,21.46158,99.37348,104.6858,98.08087,8.690759,9.258011,8.665166
"2023-05-25 13:30:00",1255,21.5345,67.4334,1.732191,5.4,0.227,5.725,"2023-05-25 13:28:30",158.3023,22.18228,21.9422,22.19439,22.14336,21.99931,21.41378,21.68203,21.78176,21.5095,99.31862,105.4392,98.48257,8.693319,9.323915,8.69256
"2023-05-25 13:35:00",1256,21.63811,67.40034,1.742375,4.85,0.421,5.675,"2023-05-25 13:35:00",116.717,22.15157,21.91204,22.15731,22.12281,21.99942,21.41972,21.68638,21.78618,21.48064,99.16431,105.7887,98.40127,8.684859,9.35375,8.690264
"2023-05-25 13:40:00",1257,21.65286,64.84447,1.677849,5.525,0.412,6.275,"2023-05-25 13:39:30",171.5064,22.14092,21.89928,22.14381,22.09852,21.98917,21.42407,21.67171,21.78988,21.61424,99.01952,105.9938,98.47923,8.674314,9.371089,8.674551
"2023-05-25 13:45:00",1258,21.7109,65.92871,1.711949,5.428,0.476,6.4,"2023-05-25 13:40:30",163.6338,22.12432,21.88699,22.14865,22.1158,22.01333,21.42517,21.67482,21.79349,21.69491,98.96517,105.8281,98.58381,8.67161,9.356237,8.670279
"2023-05-25 14:00:00",1259,21.42883,72.36033,1.846766,5.937,0.163,6.1,"2023-05-25 14:00:00",209.7904,22.0647,21.83133,22.08305,22.05515,21.9873,21.43717,21.65038,21.80313,21.75227,98.98997,106.5968,98.83414,8.683105,9.422007,8.682686
"2023-05-25 14:05:00",1260,21.33151,71.82473,1.822247,6.353,0.377,6.975,"2023-05-25 14:03:00",259.0885,22.06845,21.83291,22.08979,22.03952,21.94456,21.44279,21.64402,21.80453,21.64876,99.06887,107.4789,98.69471,8.68976,9.498932,8.687815
"2023-05-25 14:10:00",1261,21.25705,71.8989,1.815765,6.545,0.302,7.125,"2023-05-25 14:07:30",282.1682,22.08292,21.85499,22.11038,22.08322,21.99817,21.44009,21.64724,21.79673,21.70686,99.19235,107.6447,99.01559,8.696882,9.514091,8.706275
