"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor7-final.CR1X","33968","Output60min"
"TIMESTAMP","RECORD","Air_Temp_HS_Avg","RelHumidity_Avg","Vapor_Pressure_Avg","WS_ms_Avg","WS_ms_Std","WS_ms_Max","WS_ms_TMx","WS3_Avg","ThermTemp1_Avg","WTemp_C1_Avg","SDI_Temp_1m","ThermTemp2_Avg","ThermTemp3_Avg","ThermTemp4_Avg","WTemp_C2_Avg","SDI_Temp_3m","ThermTemp5_Avg","ThermTemp6_Avg","SDI_Temp_6m","WTemp_C3_Avg","O2_sat1_Avg","O2_sat2_Avg","O2_sat3_Avg","O2_conc1_Avg","O2_conc2_Avg","O2_conc3_Avg","SDI_Cond_1m","SDI_Cond_3m","SDI_Cond_6m","SDI_TempCorrCond_1m","SDI_TempCorrCond_3m","SDI_TempCorrCond_6m","SDI_Salinity_1m","SDI_Salinity_3m","SDI_Salinity_6m","Mean_Chl_ugl","Mean_Turb_NTU","SB_Cond_1m","SB_Temp_1m","SB_Press_1m","SB_Cond_6m","SB_Temp_6m","SB_Press_6m"
"TS","RN","Deg C","Percent","kPa","meters/second","meters/second","meters/second","meters/second","(meters/second)","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Percent","Percent","Percent","mg/l","mg/l","mg/l","uS/cm","uS/cm","uS/cm","uS/cm 25C","uS/cm 25C","uS/cm 25C","","","","ug/l","NTU","","","","","",""
"","","Avg","Avg","Avg","Avg","Std","Max","TMx","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-16 16:00:00",0,22.35192,54.12701,1.461483,0.003,0.024,0.213,"2023-05-16 15:52:00",0.0001214646,22.87032,23.35896,22.36,22.84357,22.72957,18.58529,23.39628,20.9,22.45847,22.92134,20.92,23.49553,102.4824,102.3746,103.0476,8.731138,8.715814,8.756722,85.44208,31465.88,31034.82,96.10773,34426.03,33935.64,-3.407904,21.32632,20.97301,0.8951674,22.93499,3.209272,21.06066,0.3324,3.215035,21.05933,0.0008
"2023-05-17 10:00:00",1,20.20079,67.59674,1.599666,1.629,0.429,2.525,"2023-05-17 09:34:30",5.147143,20.49165,20.5032,20.4,20.57812,20.37894,-84.97859,23.3815,21.21,19.77964,23.78592,21.3,23.46009,101.7407,103.1993,101.154,9.158651,8.788479,8.601525,85.44208,-489.2647,-253.4128,135.4984,-444.5506,-106.2418,-3.379523,-3.797441,-3.553694,0.234409,6.480503,"NAN","NAN","NAN",0.07381,22.86118,0.0499
"2023-05-17 11:00:00",2,19.99946,64.594,1.509509,1.874,0.303,2.7,"2023-05-17 10:22:00",7.105733,20.30882,20.3035,20.44,20.60747,20.35479,-87.05859,22.2912,18.44,20.80562,22.57946,18.56,22.29368,101.8539,101.6961,98.80102,9.20506,8.841964,8.589727,85.44208,-489.2647,-274.1196,134.7965,-396.1923,-82.03436,-3.380029,-3.762599,-3.536253,0.2467216,6.310142,"NAN","NAN","NAN",0.072015,21.62252,0.0345
"2023-05-17 12:00:00",3,20.41295,61.57974,1.476403,1.706,0.363,2.8,"2023-05-17 11:43:00",5.652294,20.6154,20.79185,21.77,21.20431,21.366,-87.02621,21.47606,18.59,21.75319,21.84735,18.48,21.43191,101.9797,100.6259,97.06004,9.128524,8.887529,8.579926,85.44208,-489.2647,-274.1196,107.2651,-398.6107,-80.60992,-3.399865,-3.764341,-3.535226,0.2457897,6.207031,"NAN","NAN","NAN",0.07178,21.40669,0.0567
"2023-05-17 13:00:00",4,21.02728,59.58612,1.483735,1.481,0.458,2.225,"2023-05-17 12:20:30",4.095007,21.106,22.33771,23.89,22.24541,23.3944,-86.9516,22.02638,19.51,24.42739,22.45876,19.5,21.84045,101.9705,100.2117,97.43354,8.858182,8.757401,8.545103,85.44208,-489.2647,-274.1196,67.36566,-415.6194,-98.36292,-3.428612,-3.776596,-3.548017,0.2406117,5.97371,"NAN","NAN","NAN",0.072832,21.97608,0.0553
"2023-05-17 14:00:00",5,30.00767,38.73728,1.619853,0,0,0,"2023-05-17 13:00:30",0,22.57945,23.32927,24.65,22.09294,22.50002,-86.90109,22.11466,19.8,26.86168,22.39869,19.8,22.11217,102.1823,96.8232,96.90881,8.71045,8.446817,8.454689,85.44208,-489.2647,-274.1196,53.47931,-420.46,-103.6932,-3.438617,-3.780084,-3.551857,0.2520784,5.776586,"NAN","NAN","NAN",0.073023,22.07909,0.0466
"2023-05-17 15:00:00",6,31.98371,35.5038,1.685426,0,0,0,"2023-05-17 14:00:30",0,23.33275,23.13059,23.81,21.77425,22.07121,-86.97013,22.12367,20.13,24.42617,22.43262,20.18,22.17492,102.0313,94.09863,95.44157,8.730313,8.207696,8.316651,85.44208,-489.2647,-274.1196,68.73407,-426.3461,-109.8948,-3.427626,-3.784324,-3.556326,0.2514487,5.733114,"NAN","NAN","NAN",0.073221,22.12249,0.0424
"2023-05-17 16:00:00",7,30.4297,40.84782,1.761343,0,0,0,"2023-05-17 15:00:30",0,23.12409,22.74235,22.81,21.49386,21.83951,-86.99832,22.13455,20.27,24.64212,22.44513,20.48,22.22115,101.719,93.59351,94.74208,8.768022,8.161928,8.248363,85.44208,-489.2647,-274.1196,87.19208,-428.5072,-115.2458,-3.414327,-3.785882,-3.560181,0.2582665,5.73385,"NAN","NAN","NAN",0.073316,22.1279,0.0368
