TIMESTAMP,PTemp_C_Avg,VBatt_Avg,VBatt_Max,IBatt_Avg,IBatt_Max,ILoad_Avg,ILoad_Max,V_in_chg_Avg,V_in_chg_Max,I_in_chg_Avg,I_in_chg_Max
07/06/2023 07:00:00,26.16,12.89,12.93,0.02903298,0.101,0.2679617,0.4218,16.48,18.37,0.261,0.313
07/06/2023 06:00:00,25.78,12.77,12.85,-0.08922339,0.0542,0.2717479,0.4269,16,17.63,0.164,0.291
07/06/2023 05:00:00,25.65,12.69,12.74,-0.2598787,-0.143,0.2716617,0.4286,17.93,19.54,0.011,0.137
07/06/2023 04:00:00,25.57,12.68,12.69,-0.2757202,-0.257,0.2775404,0.43,5.044,17.74,0,0.007
07/06/2023 03:00:00,25.43,12.69,12.71,-0.2796159,-0.2629,0.2812872,0.4342,0.062,0.341,0,0
07/06/2023 02:00:00,25.37,12.72,12.74,-0.2779692,-0.2669,0.2796181,0.4334,0.054,0.055,0,0
07/06/2023 01:00:00,25.41,12.74,12.75,-0.2726532,-0.2551,0.274316,0.4303,0.052,0.054,0,0
07/06/2023 00:00:00,25.42,12.76,12.78,-0.2742575,-0.2638,0.2759,0.4307,0.051,0.052,0,0
06/06/2023 23:00:00,25.47,12.79,12.87,-0.2659245,-0.1389,0.2675702,0.4308,0.05,0.052,0,0
06/06/2023 22:00:00,25.62,12.81,12.82,-0.2722223,-0.2597,0.2738542,0.4288,0.051,0.053,0,0
06/06/2023 21:00:00,26,12.83,12.85,-0.2709627,-0.2584,0.2725234,0.425,0.206,1.007,0,0
06/06/2023 20:00:00,26.86,12.87,12.88,-0.2725223,-0.2616,0.2741085,0.4287,0.214,0.907,0,0
06/06/2023 19:00:00,28.47,12.91,12.95,-0.2604532,-0.2031,0.2727862,0.4278,11.08,17.75,0.013,0.073
06/06/2023 18:00:00,30.59,13.39,13.51,-0.01387979,0.0277,0.2623255,0.4231,18.14,20.37,0.207,0.301
06/06/2023 17:00:00,31.96,13.47,13.47,0.02046383,0.0211,0.2624702,0.4158,21.3,21.6,0.201,0.322
06/06/2023 16:00:00,31.91,13.47,13.47,0.02194255,0.0228,0.2612181,0.4114,21.44,21.51,0.2,0.312
06/06/2023 15:00:00,31.58,13.51,13.51,0.0260383,0.0277,0.2571627,0.4153,21.5,21.55,0.2,0.313
06/06/2023 14:00:00,31.02,13.51,13.51,0.03123936,0.034,0.2619096,0.4143,21.44,21.51,0.208,0.315
06/06/2023 13:00:00,30.24,13.51,13.51,0.04283723,0.0501,0.2623149,0.4159,21.17,21.39,0.219,0.324
06/06/2023 12:00:00,29.73,13.5,13.51,0.06447873,0.0763,0.262084,0.4151,20.78,21.02,0.239,0.345
06/06/2023 11:00:00,29.91,13.5,13.5,0.09500212,0.1063,0.2618149,0.4217,20.42,20.63,0.265,0.376
06/06/2023 10:00:00,30.1,13.5,14.44,0.09145956,0.3386,0.2624542,0.4154,20.31,22.08,0.268,0.544
06/06/2023 09:00:00,29.63,14.4,14.46,0.5333851,0.7547,0.2514043,0.4005,18.98,19.94,0.672,0.932
06/06/2023 08:00:00,28.63,14.17,14.43,0.8982457,1.0747,0.2494596,0.4018,17.66,19.02,1.039,1.222
06/06/2023 07:00:00,27.2,13.82,14.12,0.7677329,1.3504,0.2549106,0.4079,17.44,19.18,0.912,1.392
06/06/2023 06:00:00,25.35,13.72,13.92,0.7839265,1.1246,0.2565904,0.4102,17.64,19.23,0.91,1.211
06/06/2023 05:00:00,24.62,12.91,13.76,0.04711276,1.001,0.2696383,0.4121,16.35,18.81,0.275,1.064
06/06/2023 04:00:00,24.62,12.69,12.73,-0.2772564,-0.1797,0.2829021,0.4312,9.8,18.86,0.005,0.088
06/06/2023 03:00:00,24.59,12.7,12.71,-0.2758936,-0.2649,0.2775755,0.4333,0.103,1.17,0,0
06/06/2023 02:00:00,24.64,12.73,12.74,-0.2783213,-0.2687,0.2799862,0.4348,0.093,0.111,0,0
06/06/2023 01:00:00,24.64,12.75,12.76,-0.2738574,-0.257,0.2755245,0.4331,0.083,0.107,0,0
