"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor7-final.CR1X","33968","OutputDaily"
"TIMESTAMP","RECORD","Air_Temp_HS_Avg","Air_Temp_HS_Max","Air_Temp_HS_Min","RelHumidity_Avg","Vapor_Pressure_Avg","WS_ms_Avg","WS_ms_Std","WS_ms_Max","WS_ms_TMx","WS3_Avg","ThermTemp1_Avg","WTemp_C1_Avg","SDI_Temp_1m_Avg","ThermTemp2_Avg","ThermTemp3_Avg","ThermTemp4_Avg","WTemp_C2_Avg","SDI_Temp_3m_Avg","ThermTemp5_Avg","ThermTemp6_Avg","SDI_Temp_6m_Avg","WTemp_C3_Avg","O2_sat1_Avg","O2_sat1_Min","O2_sat1_Max","O2_sat1_Std","O2_sat2_Avg","O2_sat2_Min","O2_sat2_Max","O2_sat2_Std","O2_sat3_Avg","O2_sat3_Min","O2_sat3_Max","O2_sat3_Std","O2_conc1_Avg","O2_conc1_Min","O2_conc1_Max","O2_conc1_Std","O2_conc2_Avg","O2_conc2_Min","O2_conc2_Max","O2_conc2_Std","O2_conc3_Avg","O2_conc3_Min","O2_conc3_Max","O2_conc3_Std","SDI_Cond_1m_Avg","SDI_Cond_3m_Avg","SDI_Cond_6m_Avg","SDI_TempCorrCond_1m_Avg","SDI_TempCorrCond_3m_Avg","SDI_TempCorrCond_6m_Avg","SDI_Salinity_1m_Avg","SDI_Salinity_3m_Avg","SDI_Salinity_6m_Avg","Mean_Chl_ugl_Avg","StdDev_Chl_ugl_Avg","CV_Chl_ugl_Avg","Mean_Turb_NTU_Avg","StdDev_Turb_NTU_Avg","CV_Turb_NTU_Avg","SB_Cond_1m_Avg","SB_Temp_1m_Avg","SB_Press_1m_Avg","SB_Cond_6m_Avg","SB_Temp_6m_Avg","SB_Press_6m_Avg"
"TS","RN","Deg C","Deg C","Deg C","Percent","kPa","meters/second","meters/second","meters/second","meters/second","(meters/second)","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","uS/cm","uS/cm","uS/cm","uS/cm 25C","uS/cm 25C","uS/cm 25C","","","","ug/l","ug/l","ug/l","NTU","NTU","NTU","","","","","",""
"","","Avg","Max","Min","Avg","Avg","Avg","Std","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-05-18 00:00:00",0,23.44501,34.83036,19.02922,58.06607,1.631163,0.408,0.748,2.8,"2023-05-17 11:43:00",1.348335,21.56188,21.62069,20.98866,21.10851,21.21157,-87.04216,21.95512,19.36834,22.19715,22.26816,19.37529,21.99546,101.7912,101.4484,102.3159,0.1967136,94.56537,89.73262,103.6915,4.136468,93.82948,89.17453,101.8202,3.411579,8.968059,8.699235,9.223197,0.1653023,8.274631,7.851346,8.909581,0.3427533,8.203596,7.838423,8.650512,0.2673486,82.50241,-472.4313,-263.2171,105.3837,-410.1903,-102.6907,-3.281588,-3.653052,-3.431503,0.2412903,0.02332616,9.336192,5.66856,0.0674604,1.142158,0,0,0,0,0,0
"2023-05-19 00:00:00",1,23.84314,43.53824,17.65024,52.69627,1.439008,0,0,0,"2023-05-18 00:00:30",0,20.98434,21.42992,21.1026,20.85381,21.00659,-87.32539,20.81116,20.07764,21.76727,21.08697,20.05493,20.91208,102.4087,101.896,102.8212,0.2618133,86.85094,70.70819,92.22777,4.297416,88.30013,85.11945,89.77673,0.9938333,9.058535,8.608395,9.349021,0.2280575,7.772605,6.260772,8.18041,0.407993,7.885656,7.547387,8.039843,0.1092851,85.44208,-489.2647,-274.1196,123.1389,-425.1204,-107.873,-3.388428,-3.783441,-3.554869,0.2512832,0.02352501,9.377036,5.722386,0.06202139,1.08355,"NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-20 00:00:00",2,14.86169,14.92519,14.82889,76.46523,1.291557,0,0,0,"2023-05-19 23:59:00",0,16.51966,17.1824,0,17.79564,17.17141,-87.63247,19.37808,0,17.5766,19.5424,0,19.32117,102.0044,101.996,102.0186,0.01008713,83.95702,83.94506,83.97471,0.01276205,81.60535,81.58451,81.62024,0.01518442,9.821027,9.820106,9.822428,0.001006887,7.728791,7.727723,7.730467,0.001199743,7.520895,7.51913,7.521865,0.001250433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-21 00:00:00",3,27.17446,43.97395,16.80043,46.84382,1.514711,0.008,0.043,0.4,"2023-05-20 18:13:30",0.0004846643,21.09877,22.01765,22.34762,21.13659,21.78419,-87.37193,19.63621,19.33667,24.1729,19.9058,19.33109,19.94019,101.8861,101.5012,102.5613,0.2209105,80.74977,79.89737,82.69051,0.4241793,81.62353,77.60325,83.9129,1.654735,8.917121,8.291453,9.460528,0.3375331,7.396775,7.222031,7.626671,0.1262218,7.430637,7.014717,7.666832,0.1430487,84.52712,-484.0254,-271.1842,95.13012,-411.2007,-97.70484,-3.371373,-3.736177,-3.510308,0.2410724,0.02480174,10.18805,5.780843,0.05776193,0.9884642,0,0,0,0,0,0
"2023-05-23 00:00:00",4,21.35436,27.49183,19.42219,72.6777,1.834618,0.315,0.199,1.45,"2023-05-22 21:41:00",0.07457282,20.94853,20.8764,20.27853,20.4238,20.47963,-87.52251,20.25605,19.59128,20.55299,20.53984,19.56722,20.35898,101.0615,100.869,101.2492,0.08331215,75.52251,73.51732,78.10857,1.301966,76.24801,73.18459,77.54162,0.7721803,9.032075,8.869583,9.168766,0.1044105,6.831897,6.638517,7.063455,0.1249854,6.883382,6.627262,6.996527,0.07022061,83.63139,-478.8961,-268.3105,126.5162,-415.2542,-104.5728,-3.312307,-3.702645,-3.478803,0.2318567,0.02331568,9.839768,5.687556,0.06167854,1.061451,0,0,0,0,0,0
"2023-05-24 00:00:00",5,20.03398,32.25501,15.6827,76.5317,1.785216,0.051,0.142,1.25,"2023-05-23 03:09:00",0.01197567,18.43308,18.80678,18.76041,18.25223,18.69607,-87.58226,19.26332,18.68793,19.78197,19.54892,18.67765,19.42226,101.0723,100.5751,101.4921,0.2323935,74.82151,71.91917,77.21466,1.309532,73.96169,69.62539,76.01961,1.677575,9.41783,8.969734,9.78264,0.2410893,6.903544,6.629179,7.055686,0.101992,6.802487,6.410449,6.991931,0.1415545,85.44207,-489.2646,-274.1196,172.9411,-400.5677,-83.89265,-3.352546,-3.765751,-3.537591,0.2368589,0.02323957,9.806547,5.884769,0.05954934,1.012023,"NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-25 00:00:00",6,22.58495,34.30037,17.39199,66.10459,1.812913,0,0,0,"2023-05-24 15:53:00",0,18.9817,19.38108,18.94142,18.47536,19.22417,-87.51044,18.2791,18.06551,19.8297,18.56512,18.05022,18.50444,101.3045,100.9743,101.4343,0.09126242,71.45222,70.10256,72.61755,0.7967854,71.58508,68.05276,73.12799,1.373824,9.32586,9.206573,9.496215,0.08188061,6.725853,6.581265,6.860046,0.08995692,6.707605,6.36599,6.881858,0.1431243,85.44208,-489.2647,-270.779,167.5831,-388.9715,-68.44854,-3.356406,-3.757396,-3.526464,0.2364995,0.02384449,10.07711,5.936517,0.06108813,1.029469,"NAN","NAN","NAN","NAN","NAN","NAN"
"2023-05-26 00:00:00",7,20.74837,21.81265,19.68517,74.32439,1.815915,4.295,1.6,7.3,"2023-05-25 15:23:00",110.6476,22.06806,21.83886,21.68,22.08788,22.03988,21.95756,21.44702,21.56627,21.90685,21.97222,21.28078,21.74189,101.2182,98.89798,102.9997,1.192913,108.9823,100.354,117.0044,5.277412,101.2275,95.1609,103.5508,2.064261,8.877395,8.652019,9.050713,0.1142522,9.63099,8.860504,10.33977,0.4658174,8.894392,8.409169,9.096809,0.1631782,59264.53,59309.46,59045.36,63625.31,63805,63854.41,42.37012,42.49959,42.53519,1.158185,0.04086793,3.537806,1.379344,0.07499418,5.423965,5.893007,21.79905,0.6926536,5.867938,21.49595,4.979032
