Variable,Meaning
Air_Temp_HS_Avg, Temperatura del aire media
RelHumidity_Avg, Humedad Relativa media
Vapor_Pressure_Avg, Presión Vapor media
WS_ms_Avg, Velocidad del Viento media m/s
WS_ms_Std, Velocidad del Viento sd
WS_ms_Max, Velocidad del Viento max
WS_ms_TMx, Velocidad del Viento ?
WS3_Avg, Velocidad del Viento media ?
ThermTemp1_Avg, Temperatura del agua media, medida por thermistor (0.5m) 
WTemp_C1_Avg, Temperatura del agua media, medida por oximetro (1m) 
ThermTemp2_Avg, Temperatura del agua media, medida por thermistor (1.5m)  
ThermTemp3_Avg, Temperatura del agua media, medida por thermistor (2m) 
ThermTemp4_Avg, Temperatura del agua media, medida por thermistor (2.5m) 
WTemp_C2_Avg, Temperatura del agua media, medida por oximetro (3m) 
ThermTemp5_Avg, Temperatura del agua media, medida por thermistor (4m) 
ThermTemp6_Avg, Temperatura del agua media, medida por thermistor (5m) 
WTemp_C3_Avg, Temperatura del agua media, medida por oximetro (6.5m) 
O2_sat1_Avg, saturacion oxigeno 1m 
O2_sat2_Avg, saturacion oxigeno 3m
O2_sat3_Avg, saturacion oxigeno 6m
O2_conc1_Avg, concentracion oxigeno 1m
O2_conc2_Avg, concentracion oxigeno 3m     
O2_conc3_Avg, concentracion oxigeno 6.5m
